Test cases array = [10, 5, 2, 9, 12, 3, 8, 7, 7, 20]

 genes=[1, 0, 1, 1, 1, 0, 1, 1, 0, 1]	 Fitness = 68
 genes=[1, 0, 1, 1, 1, 0, 1, 1, 0, 1]	 Fitness = 68
 genes=[1, 0, 1, 1, 1, 0, 1, 1, 0, 1]	 Fitness = 68
 genes=[1, 0, 1, 1, 1, 0, 1, 1, 0, 1]	 Fitness = 68
 genes=[1, 0, 1, 1, 1, 0, 1, 1, 0, 1]	 Fitness = 68
 genes=[1, 0, 1, 1, 1, 0, 1, 1, 0, 1]	 Fitness = 68
 genes=[1, 0, 1, 1, 1, 0, 1, 1, 0, 1]	 Fitness = 68
 genes=[1, 0, 1, 1, 1, 0, 1, 1, 0, 1]	 Fitness = 68
 genes=[1, 0, 1, 1, 1, 0, 1, 1, 0, 1]	 Fitness = 68
 genes=[1, 0, 1, 1, 1, 0, 1, 1, 0, 1]	 Fitness = 68
 genes=[1, 0, 1, 1, 1, 0, 1, 1, 0, 1]	 Fitness = 68
 genes=[1, 0, 1, 1, 1, 0, 1, 1, 0, 1]	 Fitness = 68
 genes=[1, 0, 1, 1, 1, 0, 1, 1, 0, 1]	 Fitness = 68
 genes=[1, 0, 1, 1, 1, 0, 1, 1, 0, 1]	 Fitness = 68
 genes=[1, 0, 0, 1, 1, 0, 1, 1, 0, 1]	 Fitness = 66
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
 genes=[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]	 Fitness = 64
